sample,gt,n,total,sex,prop,cross
338_339b_grnson,1/1,107,113,male,0.9469026548672567,male_01_11
476_477a_grndat,0/0,1,257,female,0.0038910505836575876,male_01_11
476_477a_grndat,0/1,122,257,female,0.47470817120622566,male_01_11
476_477a_grndat,1/1,134,257,female,0.5214007782101168,male_01_11
476_477b_grnson,0/0,0,269,male,0,male_01_11
476_477b_grnson,0/1,13,269,male,0.048327137546468404,male_01_11
476_477b_grnson,1/1,256,269,male,0.9516728624535316,male_01_11
476_477c_grndat,0/0,3,269,female,0.011152416356877323,male_01_11
476_477c_grndat,0/1,125,269,female,0.4646840148698885,male_01_11
476_477c_grndat,1/1,141,269,female,0.5241635687732342,male_01_11
476_477d_grndat,0/0,1,273,female,0.003663003663003663,male_01_11
476_477d_grndat,0/1,121,273,female,0.4432234432234432,male_01_11
476_477d_grndat,1/1,151,273,female,0.5531135531135531,male_01_11
302_303b_grnson,0/0,0,74,male,0,male_01_11
302_303b_grnson,0/1,6,74,male,0.08108108108108109,male_01_11
302_303b_grnson,1/1,68,74,male,0.918918918918919,male_01_11
110_111c_grnson,0/0,0,31,male,0,male_01_11
110_111c_grnson,0/1,0,31,male,0,male_01_11
110_111c_grnson,1/1,31,31,male,1,male_01_11
110_111d_grndat,0/0,0,26,female,0,male_01_11
110_111d_grndat,0/1,12,26,female,0.46153846153846156,male_01_11
110_111d_grndat,1/1,14,26,female,0.5384615384615384,male_01_11
596_597a_grnson,0/0,1,37,male,0.02702702702702703,male_01_11
596_597a_grnson,0/1,2,37,male,0.05405405405405406,male_01_11
596_597a_grnson,1/1,34,37,male,0.918918918918919,male_01_11
240_241a_grndat,0/0,0,2,female,0,male_01_11
240_241a_grndat,0/1,2,2,female,1,male_01_11
240_241a_grndat,1/1,0,2,female,0,male_01_11
240_241b_grndat,0/0,0,4,female,0,male_01_11
240_241b_grndat,0/1,2,4,female,0.5,male_01_11
240_241b_grndat,1/1,2,4,female,0.5,male_01_11
240_241c_grnson,0/0,0,3,male,0,male_01_11
240_241c_grnson,0/1,2,3,male,0.6666666666666666,male_01_11
240_241c_grnson,1/1,1,3,male,0.3333333333333333,male_01_11
187_188a_grnson,0/0,0,9,male,0,male_01_11
187_188a_grnson,0/1,2,9,male,0.2222222222222222,male_01_11
187_188a_grnson,1/1,7,9,male,0.7777777777777778,male_01_11
300_301a_grnson,0/0,0,15,male,0,male_01_11
300_301a_grnson,0/1,4,15,male,0.26666666666666666,male_01_11
300_301a_grnson,1/1,11,15,male,0.7333333333333333,male_01_11
177_178a_grndat,0/0,0,11,female,0,male_01_11
177_178a_grndat,0/1,6,11,female,0.5454545454545454,male_01_11
177_178a_grndat,1/1,5,11,female,0.45454545454545453,male_01_11
177_178b_grnson,0/0,0,19,male,0,male_01_11
177_178b_grnson,0/1,2,19,male,0.10526315789473684,male_01_11
177_178b_grnson,1/1,17,19,male,0.8947368421052632,male_01_11
133_134a_grnson,0/0,0,163,male,0,male_01_11
133_134a_grnson,0/1,3,163,male,0.018404907975460124,male_01_11
133_134a_grnson,1/1,160,163,male,0.9815950920245399,male_01_11
284_285a_grnson,0/0,0,582,male,0,male_01_11
284_285a_grnson,0/1,12,582,male,0.020618556701030927,male_01_11
284_285a_grnson,1/1,570,582,male,0.979381443298969,male_01_11
284_285b_grndat,0/0,0,993,female,0,male_01_11
284_285b_grndat,0/1,454,993,female,0.45720040281973817,male_01_11
284_285b_grndat,1/1,539,993,female,0.5427995971802618,male_01_11
400_401a_grnson,0/0,0,8,male,0,male_01_11
400_401a_grnson,0/1,2,8,male,0.25,male_01_11
400_401a_grnson,1/1,6,8,male,0.75,male_01_11
478_479-1a_grnson,0/0,0,5,male,0,male_01_11
478_479-1a_grnson,0/1,0,5,male,0,male_01_11
478_479-1a_grnson,1/1,5,5,male,1,male_01_11
478_479-1b_grndat,0/0,1,5,female,0.2,male_01_11
478_479-1b_grndat,0/1,1,5,female,0.2,male_01_11
478_479-1b_grndat,1/1,3,5,female,0.6,male_01_11
478_479-2a_grndat,0/0,0,2,female,0,male_01_11
478_479-2a_grndat,0/1,1,2,female,0.5,male_01_11
478_479-2a_grndat,1/1,1,2,female,0.5,male_01_11
478_479-2b_grnson,0/0,0,1,male,0,male_01_11
478_479-2b_grnson,0/1,0,1,male,0,male_01_11
478_479-2b_grnson,1/1,1,1,male,1,male_01_11
266_267a_grndat,0/0,0,1,female,0,male_01_11
266_267a_grndat,0/1,0,1,female,0,male_01_11
266_267a_grndat,1/1,1,1,female,1,male_01_11
266_267b_grndat,0/0,0,1,female,0,male_01_11
266_267b_grndat,0/1,0,1,female,0,male_01_11
266_267b_grndat,1/1,1,1,female,1,male_01_11
43_44a_grndat,0/0,0,19,female,0,male_01_11
43_44a_grndat,0/1,4,19,female,0.21052631578947367,male_01_11
43_44a_grndat,1/1,15,19,female,0.7894736842105263,male_01_11
43_44b_grnson,0/0,0,10,male,0,male_01_11
43_44b_grnson,0/1,2,10,male,0.2,male_01_11
43_44b_grnson,1/1,8,10,male,0.8,male_01_11
564_565-1b_grnson,0/0,0,10,male,0,male_01_11
564_565-1b_grnson,0/1,3,10,male,0.3,male_01_11
564_565-1b_grnson,1/1,7,10,male,0.7,male_01_11
564_565-2a_grndat,0/0,0,2,female,0,male_01_11
564_565-2a_grndat,0/1,2,2,female,1,male_01_11
564_565-2a_grndat,1/1,0,2,female,0,male_01_11
458_459a_grnson,0/0,0,13,male,0,male_01_11
458_459a_grnson,0/1,2,13,male,0.15384615384615385,male_01_11
458_459a_grnson,1/1,11,13,male,0.8461538461538461,male_01_11
498_499a_grnson,0/0,0,35,male,0,male_01_11
498_499a_grnson,0/1,3,35,male,0.08571428571428572,male_01_11
498_499a_grnson,1/1,32,35,male,0.9142857142857143,male_01_11
498_499b_grndat,0/0,0,19,female,0,male_01_11
498_499b_grndat,0/1,13,19,female,0.6842105263157895,male_01_11
498_499b_grndat,1/1,6,19,female,0.3157894736842105,male_01_11
498_499c_grndat,0/0,0,39,female,0,male_01_11
498_499c_grndat,0/1,28,39,female,0.717948717948718,male_01_11
498_499c_grndat,1/1,11,39,female,0.28205128205128205,male_01_11
426_427a_grndat,0/0,1,51,female,0.0196078431372549,male_01_11
426_427a_grndat,0/1,25,51,female,0.49019607843137253,male_01_11
426_427a_grndat,1/1,25,51,female,0.49019607843137253,male_01_11
426_427b_grnson,0/0,0,31,male,0,male_01_11
426_427b_grnson,0/1,4,31,male,0.12903225806451613,male_01_11
426_427b_grnson,1/1,27,31,male,0.8709677419354839,male_01_11
534_535_2a_grndat,0/0,0,93,female,0,male_01_11
534_535_2a_grndat,0/1,41,93,female,0.44086021505376344,male_01_11
534_535_2a_grndat,1/1,52,93,female,0.5591397849462365,male_01_11
534_535_2c_grnson,0/0,0,80,male,0,male_01_11
534_535_2c_grnson,0/1,5,80,male,0.0625,male_01_11
534_535_2c_grnson,1/1,75,80,male,0.9375,male_01_11
